ROG (A),CV (J/K),TAUS (fs)
11.72591446,0.444603624,36585.162
11.91207916,0.370301671,40234.011
11.37504681,0.399938796,38123.675
11.45703845,0.407542328,34174.561
11.50996394,0.449729987,34279.74
12.863545,0.377657382,53720.478
11.3267321,0.433212546,34210.401
14.50438072,0.451138971,82130.004
11.16783148,0.409283848,30541.748
11.64732888,0.430067736,37728.078
11.434113,0.374969244,32044.786
11.41726675,0.408846121,34495.121
11.6317763,0.40428307,33979.517
11.19268511,0.402494997,29409.811
11.15508897,0.393982865,31114.922
11.38440161,0.396168222,32523.531
11.41250761,0.417228514,34655.533
11.4554642,0.437547595,33195.517
11.48213917,0.394747394,33936.279
11.33665647,0.459575994,32659.389
11.26470106,0.381728405,31415.685
12.02481143,0.383854855,46462.762
11.65391265,0.419566862,37683.044
11.46559288,0.40368505,36515.431
10.80147027,0.436976655,27547.088
11.59440296,0.408673408,35072.768
11.18577758,0.425985042,30616.51
10.84317804,0.419549421,27954.749
11.56701258,0.406078089,37926.223
11.28899863,0.409160951,30261.331
11.71867996,0.411407747,35002.167
11.52425746,0.410975914,37918.16
12.29054677,0.383101887,44585.54
11.56717208,0.384023232,35305.062
11.25180341,0.395682784,29456.294
11.62548537,0.391533406,35827.895
12.34000729,0.390401018,47292.331
11.60200328,0.3874929,36534.778
12.92354905,0.385423166,53469.644
11.82396042,0.389242869,37820.703
11.69630198,0.403657083,36568.708
11.35558541,0.400340549,30973.587
11.42600849,0.405744805,34595.543
11.09513993,0.507220624,28438.234
10.66635833,0.386625884,25173.717
12.70240056,0.375196205,44962.574
11.31157858,0.424962581,11721.002
11.6268749,0.37936146,36526.214
11.53002428,0.394374144,38438.517
11.95783509,0.382078281,41643.42
12.40972804,0.387285938,47607.056
13.17937707,0.398169511,57460.33
11.18747156,0.38972912,29610.958
11.86226117,0.391801771,37917.054
11.58027331,0.395836477,32964.947
11.58667252,0.388978353,36288.523
12.51988259,0.380800268,51388.985
11.01931123,0.411057651,27608.584
11.76028103,0.367619802,33531.838
11.40260365,0.445348022,34364.717
11.24665061,0.408010502,30298.516
